"","X","aproovitykk_id","B02_kevad1","B02_kevad2","B02_sygis","B03_kevad1","B03_kevad2","B03_sygis","B04_kevad1","B04_kevad2","B04_sygis","B05_kevad1","B05_kevad2","B05_sygis","B06_kevad1","B06_kevad2","B06_sygis","B07_kevad1","B07_kevad2","B07_sygis","B08_kevad1","B08_kevad2","B08_sygis","B11_kevad1","B11_kevad2","B11_sygis","B12_kevad1","B12_kevad2","B12_sygis","B02_vahe_kevad","B03_vahe_kevad","B04_vahe_kevad","B05_vahe_kevad","B06_vahe_kevad","B07_vahe_kevad","B08_vahe_kevad","B11_vahe_kevad","B12_vahe_kevad","X21","X42","X43","X44","X45","X48","X51","X61","X64","X77","X999","cl","weight","muld","ARV_VMA","ARV_VKU","ARV_VKS","ARV_VXX"
"34",73,70436,0.0621818360344047,-0.641504445283823,-0.353051603498824,-0.00364484270285543,-0.123429305937665,-0.498262500377485,-0.163316581005792,-0.541046178519477,-0.461979689241847,0.0474134452296325,0.217807240585564,-0.253313864822334,0.0902293613311069,1.01172913332987,0.556776414256534,0.173791056992069,0.987597174874558,0.737819410578453,-0.100508763184019,1.03076599134631,0.619908542554878,0.363448862399833,0.477619846501889,0.431601879489917,0.262679437841931,-0.00939897465368498,0.0693738250835989,-0.591246346354874,-0.139825286857159,-0.209448097793153,0.188980449469527,1.22576602721039,1.12541281384454,1.39806807681862,-0.036194873977474,-0.401480683191622,0,0,0,0,1,0,0,0,0,0,0,"cl",52,45,0,0,0.52,0.48
"35",75,70451,-0.525551599068627,-0.982931532136594,0.122802452780125,-0.181969653085213,-0.874313622224874,0.475813628984186,-0.607868173092355,-0.817873825546286,0.167168638967671,-0.159991109330553,-0.573271551872483,0.719983397308445,0.890122799602331,0.27408853352984,1.4441670776811,0.939355571938046,0.305279030223916,1.37445694469777,0.507473591097777,0.350914514677695,1.3494904136269,-0.246071069005476,-0.46610759787748,0.454500153616016,-0.406097742169985,-0.733875972937523,0.147332956576184,-0.140077423089597,-0.743450462675127,0.107950437032882,-0.448525530687446,-0.124079205232473,-0.0392767807889225,0.186632892716108,-0.166878434808793,-0.0811973082106419,0,0,0,0,0,0,1,0,0,0,0,"cl",75,51,0,0.1,0.75,0.15
"37",80,70504,-0.877069744498973,-1.28563968279915,-0.447284328143242,-1.03265270743548,-1.51561963634218,-0.612318202143209,-0.926139733587079,-1.04553572629495,-0.43632369500952,-1.01221110594942,-1.04876040053077,-0.695100503646487,-1.2094548415099,-0.510052725843445,-0.512530381868053,-1.24329662676268,-0.503904674748658,-0.522450565038073,-0.904633922271504,-0.593146511132619,-0.457890078207165,-0.944551310456195,-1.15026447488111,-0.831446117566688,-0.920499346340779,-1.0934828799453,-0.788213446652444,0.0507546501086387,-0.154268526015863,0.313317444280049,0.178519444003902,-0.00462742222806559,-0.0694777888881928,-0.290435910826668,0.216079962523679,0.350504598039487,0,0,0,0,0,0,1,0,0,0,0,"cl",46,51,0.13,0.27,0.46,0.14
"38",81,70506,-1.13574363242976,-1.16624415901746,-0.576512179059804,-1.27943907311599,-1.55676037143549,-0.92985270525331,-1.13327008217214,-0.881837780858369,-0.720210648724324,-1.31799987228877,-1.24758206512627,-1.07984407949005,-1.31329264876201,-1.08239303579274,-1.00395514770741,-1.17784681071941,-1.02633420124183,-0.873970568556948,-1.19740010691443,-1.16920005535918,-1.06916047859716,-1.16387177631155,-1.40593976997521,-1.17744861583792,-1.10730055124455,-1.21052914894007,-1.00035353288369,0.465617029714608,0.187577269445388,0.678409850357185,0.370509661966897,-0.670230394305983,-0.733610962205376,-0.885386971760063,0.28155246597385,0.519974466402547,0,0,0,0,0,0,1,0,0,0,0,"cl",48,51,0.42,0.48,0.07,0.03
"40",90,71285,-0.904974449584721,0.0902255027369539,-0.63284984777883,-0.839601361227441,-0.311514003402413,-0.816576664086124,-0.892748779913228,-0.435964679330063,-0.803804198878546,-0.978530024439169,-0.44282770843457,-0.906253210739933,-0.776607132162953,-0.0131963632830938,-0.336984154849074,-0.546156919497478,0.152755266691626,-0.206284741882174,-0.878006446776741,-0.256470295242713,-0.367267074160199,-0.972776374307764,-0.967547158962643,-0.944871863308235,-0.832203527814925,-0.848993268693982,-0.885337509431662,1.18873501354172,0.960658139647642,0.726426260404446,0.840639554669852,0.39260988299863,0.424576023028935,0.134454516852256,0.513612412382402,0.447805764803511,0,1,0,0,0,0,0,0,0,0,0,"cl",70,42,0,0.7,0.2,0.1
"41",91,71290,0.0267497486148416,-0.325592218801451,-0.100990092208888,-0.117192761851372,-0.10930304468097,-0.165494822497679,0.0368227495614197,-0.312532803862253,-0.256323171617749,0.698433297040515,0.461863463790216,-0.164778277486692,-0.177162501297567,0.0135574408538561,-0.240912220558259,-0.168002426797835,-0.0734170430958172,-0.302128995912533,-0.596376724733678,-0.490768669795199,-0.409864997053607,0.440791631196579,-0.102159670335201,-0.0465941455807723,0.608962181045365,-0.0628922832284849,0.0349927313729015,-0.294150029786917,0.0564504502893573,-0.275247051295375,-0.429449579544169,0.110415066773337,-0.015867386951353,-0.321554126712592,-0.95754880639135,-0.969288718300712,0,0,0,0,0,1,0,0,0,0,0,"cl",40,48,0.25,0.4,0.3,0.05
"42",94,71306,-0.472455665186945,-0.161322355671616,-0.249896396670111,-0.651743650132002,-0.60084551756065,-0.588287062732939,-0.624253785281324,-0.215502988166066,-0.239877720761273,-0.78707966638584,-0.25557767511501,-0.834949382014636,-0.71879267538077,-0.974422326235877,-1.13546528966722,-0.494590397767406,-0.964326876814488,-1.11838980930471,-0.724579681570218,-1.05614373946163,-1.19456225621624,-0.764445918158855,-0.880744054148563,-0.897370029720565,-0.671177642322816,-0.595250367883833,-0.698849085421278,0.45342236769403,0.322219369608945,0.574258342084027,0.793872706704875,-0.847604266720381,-0.956867218248614,-0.990473673931172,0.242173419833662,0.445064508552106,0,0,0,0,0,0,0,0,1,0,0,"MA",80,64,0.8,0.15,0.05,0
"43",97,71543,1.24508836997827,0.84546250937321,0.777963834627282,0.879487551580425,1.32089076536461,0.682804806479835,0.954954671959428,0.809707381642396,0.441584399154941,0.245511385161718,0.745894413210151,0.409811742342277,-0.387880981943598,1.56145610882809,1.29344254886042,-0.413273959650192,1.58533827931046,1.39878411795434,-0.445221499876805,1.08304991325812,1.53036689287618,0.388016844280888,0.977322718830944,0.747320507663217,0.52881669818193,0.758918530801772,0.433631146397558,-0.857796873041395,0.166857204211242,-0.522221873642797,0.53173221679306,2.16955536641894,2.10918536474529,1.65037662896579,0.588075790363525,-0.0787632696952309,0,0,0,0,0,1,0,0,0,0,0,"cl",70,48,0,0,0.7,0.3
"44",98,71545,0.493682332691626,-0.779013894893078,-0.0565048727724674,0.262427096599344,0.147340190662884,-0.0964560970150052,0.529356829920256,-0.69360659157197,-0.411781684332122,0.514073692989235,0.274613430470177,-0.0073156557118039,-0.102612280705137,1.64044353056934,0.807355943419683,-0.180232947976115,1.60814557105447,0.750212498842444,-0.778570080415206,1.5715529284235,0.545594950306136,0.639546182576518,0.973507948112215,0.602298104830697,0.859342005375967,0.533336441432861,0.530407999289752,-1.23383462869842,-0.241319361507968,-1.1373256490292,-0.392528383782985,2.11864806292472,2.03505561759401,2.46555758496078,0.114717034027138,-0.784406601899642,0,1,0,0,0,0,0,0,0,0,0,"cl",65,42,0,0.05,0.3,0.65
"45",101,71609,-0.145265675136732,-0.352262211755748,-0.713905390780145,-0.3621539917633,-0.275220904135131,-0.727702550059192,-0.522288376761936,-0.572531590189837,-0.913274542474421,-0.706422339613209,-0.941459819640507,-0.98180131498948,-0.937879037933249,-0.56356033411981,-0.576378966993736,-0.890264285674973,-0.408399140574423,-0.63375885777384,-0.53581722875036,-0.17203152400188,-0.495471229208488,-0.781131093917898,-0.519751641246051,-0.70247372930103,-0.629436139323834,-0.492486044735613,-0.715066686354403,-0.10334519468104,0.248228584165725,0.189374941494472,-0.120542241668545,-0.215070999668943,-0.107626430697384,0.0618154680763393,0.757256214064833,0.479042895090705,0,0,0,0,1,0,0,0,0,0,0,"cl",75,45,0.2,0.75,0,0.05
"46",102,71615,-0.698210426911119,-1.66994257978524,-1.02542285572638,-0.649810737991644,-1.33804636091941,-0.516841730750439,-0.776535721358975,-1.05654245497467,-0.637741247674477,-0.68116152847872,-1.10241069097596,-0.307385934939121,-0.302300371571487,-0.553049911064273,-0.136765757935007,-0.19014958677031,-0.531701061560015,-0.0994025520978855,-0.0649699438980433,-0.492071250504427,-0.0188489155025621,-0.954905572399196,-1.28265773463825,-0.829779293036215,-0.909654704764354,-1.20222026472024,-0.735175253851322,-0.478126911340119,-0.550401975707856,0.129198699181345,-0.343915476029194,-0.53674903947169,-0.563676103236345,-0.607086272707599,0.0578412519904989,0.23231615376579,0,0,0,0,0,0,1,0,0,0,0,"cl",55,51,0.1,0.55,0.3,0.05
"47",104,71619,0.143684347174878,-0.46756116790179,-0.441287302226709,0.301223151974925,0.208215216358546,0.298122438853683,0.433433589035886,0.38440222770831,0.131794041956529,0.421007546711138,0.554436513971424,0.355145473650907,-0.111740879146849,-0.397304551262966,-0.317844532143374,-0.171307973062902,-0.481810110872686,-0.620371262427517,-0.110339442086275,-0.381840100676236,-0.418878240236569,-0.13865920098183,0.0263638693804331,-0.167717007964722,-0.108628667981974,0.123684488124168,-0.0411611420541461,-0.552270101613641,-0.230882981281296,-0.224488391951728,0.0640637371415117,-0.441147528577126,-0.511221720748567,-0.439083819568383,0.293475151815977,0.278378638118297,0,0,0,0,0,1,0,0,0,0,0,"cl",55,48,0.55,0,0.45,0
"50",111,71639,0.07898917114521,-0.812982790352682,-1.11944407257815,0.446225224625425,0.200022654594107,0.00733791335742841,0.183412486362992,-0.667141665501424,-0.501269790717431,0.47152916897627,0.175728581412325,0.413376933779382,0.145381310237097,1.86530288439401,1.21180009575116,-0.0133028616001744,1.96070828925107,1.22895290842115,0.90146127343413,1.92532623344645,1.30605833114743,0.563373226093573,0.433536540684888,0.49789742490761,0.425348206832699,-0.0893682921009804,0.0312858084018408,-0.749519477349231,-0.469914655479275,-0.710817681046677,-0.449140883951088,2.27096912850092,2.39096510538322,2.02963637550599,-0.467478868184371,-0.719643634232244,0,1,0,0,0,0,0,0,0,0,0,"cl",50,42,0,0.1,0.5,0.4
"52",115,71698,-0.439995466112138,-0.350533083009683,0.20211146216532,-0.86130226407469,0.471412988671491,0.552251547472436,-0.463130445437898,-0.4492627195124,-0.0129864230958983,-0.754284929125101,0.556540446931411,0.714635610153555,-1.92376766940831,0.653737754152821,1.2307453316659,-1.9880362002383,0.479184629766226,1.13608124699167,-2.20666570386553,0.428220845072125,0.977844555535403,-0.418046942169814,0.413283955219604,0.97826926240753,-0.167432715158866,-0.0478457193336243,0.584396938057028,0.261617198715128,1.9184852103059,0.211280243883256,1.69844200287512,1.83645324669886,1.45198830812153,1.73712745129711,1.33236582108628,0.205415361480947,0,0,0,0,0,1,0,0,0,0,0,"cl",60,48,0,0,0.6,0.4
"53",116,71704,-0.94589260012563,-0.0375506418033973,0.259581758818551,-0.818843975887206,-0.184965740398843,-2.34291917036528,-0.626821923144726,0.647719705522746,0.243581157559373,-0.437860031785912,0.0715838999570702,0.0119957978991919,-0.337673690527643,-0.961045424167327,-0.645984391760761,-0.456907170348532,-1.01564328323698,-0.718674462540917,-0.523823579946044,-0.990876901144164,-0.869868660548336,-0.615760701109804,-0.0186313566633231,-0.437260411153655,-0.714301859791548,0.148234519127649,-0.288162881445186,1.13672418997292,1.07709330890224,1.21790106013215,0.691724065096464,-1.03159208014023,-1.03576554562705,-1.01257607557006,1.12131134638542,1.20679224280556,0,0,0,0,0,0,0,0,0,0,1,"MA",100,57,1,0,0,0
