"","aproovitykk_id","kp","satel","B02","B03","B04","B05","B06","B07","B08","B11","B12","B2","B3","B4","B5","B6","B7","B9","muld","MA","KU","KS","MUU","21","31","37","42","43","44","45","48","51","53","57","61","63","64","77","999"
"114",34237,2018-06-09,"S2",728,601,320,664,2283,2798,2577,1057,469,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"116",34237,2018-08-23,"S2",796,604,361,586,1832,2133,2118,1014,343,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"117",34237,2018-05-10,"S2",771,624,394,726,1430,1629,1663,1050,493,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"119",34237,2017-09-24,"S2",892,652,390,581,1553,1945,1875,830,343,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"122",34264,2018-05-27,"S2",871,714,455,738,1821,2178,2287,1109,538,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"124",34264,2018-05-30,"S2",744,596,339,549,1723,1971,2102,894,419,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"125",34264,2018-06-09,"S2",719,584,323,586,1831,2195,2308,907,420,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"127",34264,2018-08-23,"S2",780,593,348,487,1308,1601,1805,740,288,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"128",34264,2018-09-19,"S2",890,662,413,598,1281,1597,1691,810,355,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"129",34264,2015-08-04,"S2",715,550,296,528,1578,2047,2172,837,331,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"131",34264,2015-08-24,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"132",34264,2015-09-30,"S2",866,595,365,509,953,1055,1051,535,237,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"133",34264,2016-04-27,"S2",831,591,442,607,890,970,1022,688,395,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"134",34264,2016-05-10,"S2",884,755,523,798,1535,1823,1833,1237,642,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"136",34264,2017-05-02,"S2",827,605,493,629,977,1024,1162,940,560,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"137",34264,2017-05-05,"S2",1116,918,856,1023,1330,1502,1525,1347,917,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"139",34264,2017-08-30,"S2",801,586,340,487,1263,1650,1669,687,283,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"140",34264,2017-09-24,"S2",857,603,374,533,1016,1196,1243,640,297,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"142",34264,2018-05-10,"S2",783,640,433,661,1181,1349,1436,951,527,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"146",34268,2015-08-04,"S2",724,555,317,506,1337,1657,1673,638,261,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"148",34268,2015-08-24,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"150",34268,2017-05-02,"S2",795,607,400,624,1218,1415,1486,781,401,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"151",34268,2017-05-05,"S2",919,734,567,781,1369,1531,1579,936,585,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"153",34268,2017-08-30,"S2",805,609,360,521,1352,1716,1659,685,269,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"154",34268,2017-09-24,"S2",889,648,398,608,1372,1670,1644,654,289,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"156",34268,2018-05-10,"S2",754,579,378,578,1137,1408,1397,746,377,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"159",34268,2015-09-30,"S2",882,651,401,630,1360,1682,1601,627,245,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"160",34268,2016-04-27,"S2",819,623,409,617,1230,1425,1479,678,338,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"161",34268,2016-05-10,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"162",34268,2018-08-23,"S2",830,636,406,539,1256,1538,1597,623,289,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"163",34268,2018-06-09,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"164",34268,2018-05-27,"S2",846,686,452,683,1598,1930,1884,921,447,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"165",34268,2018-09-19,"S2",899,665,419,575,1415,1834,1645,728,316,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"166",34268,2018-05-30,"S2",742,575,356,519,1233,1610,1630,712,313,NA,NA,NA,NA,NA,NA,NA,51,80,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"170",34274,2016-04-27,"S2",881,684,582,830,1285,1496,1511,1256,724,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"171",34274,2015-09-30,"S2",920,750,508,831,1792,2068,2058,1141,487,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"173",34274,2016-05-10,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"174",34274,2015-08-24,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"175",34274,2015-08-04,"S2",727,578,318,606,2092,2753,2722,1086,419,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"176",34274,2017-05-02,"S2",894,717,636,882,1412,1653,1694,1593,939,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
