"","aproovitykk_id","kp","satel","B2","B3","B4","B5","B6","B7","muld","MA","KU","KS","MUU","21","37","42","43","44","45","48","51","53","61","64","77","999"
"259",34437,2018-05-28,"LC08",8395,7798,6841,14158,8956,6903,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"262",34437,2018-08-23,"LC08",7924,7228,6482,12606,8203,6364,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"265",34439,2015-06-12,"LC08",NA,NA,NA,NA,NA,NA,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"267",34439,2015-08-08,"LC08",8369,7576,6627,14352,8619,6453,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"272",34439,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"275",34439,2017-06-17,"LC08",NA,NA,NA,NA,NA,NA,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"278",34439,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"280",34439,2018-05-12,"LC08",8318,7585,6886,11489,9092,7100,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"281",34439,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"283",34439,2018-05-28,"LC08",8375,7811,6760,14074,9338,7034,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"286",34439,2018-08-23,"LC08",7923,7198,6398,12869,8178,6331,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"289",35077,2015-06-12,"LC08",8101,7419,6360,19794,9815,6797,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"291",35077,2015-08-08,"LC08",8433,7468,6551,17871,9581,6595,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"296",35077,2016-06-14,"LC08",8195,7393,6442,18839,9889,6913,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"299",35077,2017-06-17,"LC08",8479,7673,6644,18117,9720,6902,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"302",35077,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"304",35077,2018-05-12,"LC08",8220,7673,6727,15566,10991,7669,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"305",35077,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"307",35077,2018-05-28,"LC08",8254,7445,6407,18813,10026,6953,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"310",35077,2018-08-23,"LC08",NA,NA,NA,NA,NA,NA,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"313",35081,2015-06-12,"LC08",8130,7351,6352,13713,7825,6158,44,0,70,20,10,0,0,0,0,1,0,0,0,0,0,0,0,0
"315",35081,2015-08-08,"LC08",8419,7483,6539,14453,8156,6140,44,0,70,20,10,0,0,0,0,1,0,0,0,0,0,0,0,0
"320",35081,2016-06-14,"LC08",8179,7336,6354,13932,7815,6143,44,0,70,20,10,0,0,0,0,1,0,0,0,0,0,0,0,0
"323",35081,2017-06-17,"LC08",8468,7670,6679,14650,8491,6481,44,0,70,20,10,0,0,0,0,1,0,0,0,0,0,0,0,0
"326",35081,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,44,0,70,20,10,0,0,0,0,1,0,0,0,0,0,0,0,0
"328",35081,2018-05-12,"LC08",8133,7345,6437,12606,7911,6315,44,0,70,20,10,0,0,0,0,1,0,0,0,0,0,0,0,0
"329",35081,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,44,0,70,20,10,0,0,0,0,1,0,0,0,0,0,0,0,0
"331",35081,2018-05-28,"LC08",8273,7454,6400,14545,8124,6252,44,0,70,20,10,0,0,0,0,1,0,0,0,0,0,0,0,0
"334",35081,2018-08-23,"LC08",NA,NA,NA,NA,NA,NA,44,0,70,20,10,0,0,0,0,1,0,0,0,0,0,0,0,0
"337",35303,2015-06-12,"LC08",NA,NA,NA,NA,NA,NA,48,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"339",35303,2015-08-08,"LC08",NA,NA,NA,NA,NA,NA,48,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"344",35303,2016-06-14,"LC08",8291,7513,6492,20318,10203,7004,48,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"347",35303,2017-06-17,"LC08",8633,7886,6768,20304,10204,7064,48,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"350",35303,2018-05-10,"LC08",8139,7694,6712,14510,10482,7501,48,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"352",35303,2018-05-12,"LC08",NA,NA,NA,NA,NA,NA,48,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"353",35303,2018-05-26,"LC08",8106,7453,6361,19373,9861,6816,48,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"355",35303,2018-05-28,"LC08",NA,NA,NA,NA,NA,NA,48,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"358",35303,2018-08-23,"LC08",8187,7352,6630,15996,9280,6634,48,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"361",35343,2015-06-12,"LC08",8287,7761,6663,16313,9443,7009,43,60,15,5,20,0,0,0,1,0,0,0,0,0,0,0,0,0
"363",35343,2015-08-08,"LC08",8568,7770,6792,15036,8735,6528,43,60,15,5,20,0,0,0,1,0,0,0,0,0,0,0,0,0
"368",35343,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,43,60,15,5,20,0,0,0,1,0,0,0,0,0,0,0,0,0
"371",35343,2017-06-17,"LC08",9013,8466,7876,15473,10836,8575,43,60,15,5,20,0,0,0,1,0,0,0,0,0,0,0,0,0
"374",35343,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,43,60,15,5,20,0,0,0,1,0,0,0,0,0,0,0,0,0
"376",35343,2018-05-12,"LC08",8624,8017,7266,13328,10842,8408,43,60,15,5,20,0,0,0,1,0,0,0,0,0,0,0,0,0
"377",35343,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,43,60,15,5,20,0,0,0,1,0,0,0,0,0,0,0,0,0
"379",35343,2018-05-28,"LC08",8477,7785,6887,15895,9902,7781,43,60,15,5,20,0,0,0,1,0,0,0,0,0,0,0,0,0
"382",35343,2018-08-23,"LC08",8197,7333,6697,11149,8214,6803,43,60,15,5,20,0,0,0,1,0,0,0,0,0,0,0,0,0
"385",35345,2015-06-12,"LC08",8198,7510,6466,16963,9065,6625,43,25,20,5,50,0,0,0,1,0,0,0,0,0,0,0,0,0
"387",35345,2015-08-08,"LC08",8494,7652,6704,15621,8810,6382,43,25,20,5,50,0,0,0,1,0,0,0,0,0,0,0,0,0
"392",35345,2016-06-14,"LC08",8284,7470,6517,15953,8931,6538,43,25,20,5,50,0,0,0,1,0,0,0,0,0,0,0,0,0
"395",35345,2017-06-17,"LC08",8506,7758,6693,16822,8974,6642,43,25,20,5,50,0,0,0,1,0,0,0,0,0,0,0,0,0
"398",35345,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,43,25,20,5,50,0,0,0,1,0,0,0,0,0,0,0,0,0
"400",35345,2018-05-12,"LC08",8377,7677,6812,13565,9427,7104,43,25,20,5,50,0,0,0,1,0,0,0,0,0,0,0,0,0
"401",35345,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,43,25,20,5,50,0,0,0,1,0,0,0,0,0,0,0,0,0
"403",35345,2018-05-28,"LC08",8381,7698,6582,16909,9401,6889,43,25,20,5,50,0,0,0,1,0,0,0,0,0,0,0,0,0
"406",35345,2018-08-23,"LC08",8173,7381,6619,14302,8373,6345,43,25,20,5,50,0,0,0,1,0,0,0,0,0,0,0,0,0
"409",35347,2015-06-12,"LC08",8136,7394,6390,14783,8171,6288,43,9,30,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"411",35347,2015-08-08,"LC08",8458,7541,6629,14070,8134,6135,43,9,30,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"416",35347,2016-06-14,"LC08",8224,7382,6419,14869,8125,6289,43,9,30,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"419",35347,2017-06-17,"LC08",8429,7618,6594,14733,8379,6383,43,9,30,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"422",35347,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,43,9,30,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"424",35347,2018-05-12,"LC08",8203,7475,6491,13435,8537,6565,43,9,30,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"425",35347,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,43,9,30,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"427",35347,2018-05-28,"LC08",8267,7439,6420,15374,8592,6439,43,9,30,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"430",35347,2018-08-23,"LC08",8078,7221,6481,12906,7540,6016,43,9,30,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"433",35360,2015-06-12,"LC08",8289,7666,6829,13721,9685,7130,61,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"435",35360,2015-08-08,"LC08",8499,7683,6827,13107,8705,6542,61,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"440",35360,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,61,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"443",35360,2017-06-17,"LC08",8383,7632,6779,13206,9388,7034,61,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"446",35360,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,61,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"448",35360,2018-05-12,"LC08",8393,7544,6836,12368,9348,7099,61,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"449",35360,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,61,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"451",35360,2018-05-28,"LC08",8505,7686,6926,13529,9596,7221,61,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"454",35360,2018-08-23,"LC08",8128,7315,6644,11774,8220,6392,61,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"457",35384,2015-06-12,"LC08",8185,7499,6472,16982,9392,6774,44,65,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"459",35384,2015-08-08,"LC08",8365,7476,6544,16460,9285,6568,44,65,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"464",35384,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,44,65,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"467",35384,2017-06-17,"LC08",NA,NA,NA,NA,NA,NA,44,65,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"470",35384,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,44,65,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0
