"","x","y","kp","B2","B3","B4","B5","B6","B7","satel","muld","21","42","43","44","45","48","51","53","61","64","999","37","77"
"112",669412.50000001,6460337.49999977,"2018-05-28",9601,9411,9133,19255,13583,11191,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"113",669412.50000001,6460362.49999977,"2017-06-17",9060,9507,8184,26615,10121,7337,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"115",669412.50000001,6460362.49999977,"2018-05-10",9203,8982,8939,15317,14143,11687,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"117",669412.50000001,6460362.49999977,"2018-08-23",9318,9209,9839,13602,15764,12272,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"118",669412.50000001,6460362.49999977,"2018-05-28",10483,10375,10997,16063,17049,15347,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"119",669412.50000001,6460362.49999977,"2018-05-12",9413,9251,8970,16956,14597,11491,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"120",669412.50000001,6460362.49999977,"2018-05-26",9992,10072,10540,15616,16637,14431,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"121",669412.50000001,6460387.49999977,"2018-05-26",10215,10201,11119,14522,17004,15637,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"122",669412.50000001,6460387.49999977,"2018-05-28",10752,10739,11666,15513,18230,16476,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"123",669412.50000001,6460387.49999977,"2018-05-10",9211,9120,9203,14640,14308,12023,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"124",669412.50000001,6460387.49999977,"2018-05-12",9406,9291,8792,16606,14480,11563,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"126",669412.50000001,6460387.49999977,"2018-08-23",9355,9286,10142,13742,16658,12691,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"128",669412.50000001,6460387.49999977,"2017-06-17",9070,9666,8340,27483,9759,7176,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"130",669412.50000001,6460412.49999977,"2018-05-26",10270,10326,11393,14791,17394,15860,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"131",669412.50000001,6460412.49999977,"2017-06-17",9091,9563,8206,27826,9677,7262,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"133",669412.50000001,6460412.49999977,"2018-05-28",10667,10663,11560,15552,18060,16513,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"134",669412.50000001,6460412.49999977,"2018-08-23",9444,9394,10289,14079,16791,12789,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"135",669412.50000001,6460412.49999977,"2018-05-10",9267,9100,9299,14727,14383,12311,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"136",669412.50000001,6460412.49999977,"2018-05-12",9348,9139,8882,16602,14275,11424,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"137",669412.50000001,6460437.49999977,"2018-05-12",9709,9520,9685,16332,14900,12777,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"138",669412.50000001,6460437.49999977,"2018-05-26",10337,10427,11472,15004,17623,16194,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"139",669412.50000001,6460437.49999977,"2018-05-10",9504,9476,9980,14534,15465,13514,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
